"Certificate Title","Link","State"
"EBC (Economically Backward Class) Application Form, Andhra Pradesh","https://services.india.gov.in/service/service_url_redirect?id=MjQwMzU=","Pan India"
"State Scholarship Portal, Karnataka","https://services.india.gov.in/service/service_url_redirect?id=MjM5NzM=","Pan India"
"Application for issue of Library No Due Certificate, Karnataka","https://services.india.gov.in/service/service_url_redirect?id=MTc1MDk=","Pan India"
"Dhanasahaya Scheme towards financial support for Ph.D (Kannada) and M.Phil (Kannada) graduates, Karnataka","https://services.india.gov.in/service/service_url_redirect?id=MTc1MzQ=","Pan India"
"Issue of Eligibility Certificate - DIPLOMA, Karnataka","https://services.india.gov.in/service/service_url_redirect?id=MTc1ODk=","Pan India"
"Apply for Scholarship to Orphans of Killed Militants Scheme, Jammu and Kashmir","https://services.india.gov.in/service/service_url_redirect?id=MTkwNDY=","Pan India"
"Online Application for Scholarship in Studies, West Bengal","https://services.india.gov.in/service/service_url_redirect?id=MjM4MDY=","Pan India"
"Higher Education Scholarship, Kerala","https://services.india.gov.in/service/service_url_redirect?id=MjMxNTU=","Pan India"
"Application of Swami Vivekananda Merit Cum Means Scholarship, West Bengal","https://services.india.gov.in/service/service_url_redirect?id=MjExNjg=","Pan India"
"Apply for Schemes and Services related to SC, ST, Minority and Backward Class Students, Karnataka","https://services.india.gov.in/service/service_url_redirect?id=MTkwOTE=","Pan India"
"Apply for Student Educational Services, Karnataka","https://services.india.gov.in/service/service_url_redirect?id=MTkwOTQ=","Pan India"
"Gujarat-Scholarship to the disable students (Director, Social Defense)","https://services.india.gov.in/service/service_url_redirect?id=MTU3OTI=","Pan India"
"Gujarat - Scholarship for EBC Students","https://services.india.gov.in/service/service_url_redirect?id=MTU3NzE=","Pan India"
"Gujarat: EBC (Economically Backward Class) Certificate, Panchayat","https://services.india.gov.in/service/service_url_redirect?id=MTU3NzU=","Pan India"
"Gujarat: Obtain Non-Creamylayer Certificate (Panchayat)","https://services.india.gov.in/service/service_url_redirect?id=MTU3NzM=","Pan India"
"Gujarat: Obtain SC/ST Caste Certificate (Panchayat)","https://services.india.gov.in/service/service_url_redirect?id=MTU3NzI=","Pan India"
"Gujarat: Obtain Domicile Certificate (Panchayat)","https://services.india.gov.in/service/service_url_redirect?id=MTU3NzA=","Pan India"
"Gujarat: Obtain Economically Backward Certificate (Panchayat)","https://services.india.gov.in/service/service_url_redirect?id=MTU3Njg=","Pan India"
"Gujarat: Obtain Religious Minority Certificate (Panchayat)","https://services.india.gov.in/service/service_url_redirect?id=MTU3Njc=","Pan India"
"Gujarat: Obtain SC/ST Caste Certificate (Panchayat)","https://services.india.gov.in/service/service_url_redirect?id=MTU3NjY=","Pan India"
"Online Applications for Minority Welfare Scholarships, Maharashtra","https://services.india.gov.in/service/service_url_redirect?id=MjA4MjY=","Pan India"
"Gyan Sankalp (CSR) Portal, Rajasthan","https://services.india.gov.in/service/service_url_redirect?id=MTczNzQ=","Pan India"
"Haryana: To apply online for PMS, Pre-materic and merit cum means scholarship for students of SC-BC category","https://services.india.gov.in/service/service_url_redirect?id=NjA2Nw==","Pan India"
"Telangana: Community and Date of Birth Certificate relating to Scheduled Castes and Back ward Classes(II-A): Application Form","https://services.india.gov.in/service/service_url_redirect?id=ODk4MA==","Pan India"
"Telangana: Department of Revenue - Income Certificate (General); Application Form","https://services.india.gov.in/service/service_url_redirect?id=ODk5OA==","Pan India"
"Telangana: Prematriculation Scholarship Application Form","https://services.india.gov.in/service/service_url_redirect?id=OTYwNA==","Pan India"
"Telangana: Student Scholarship Application Form (Fresh)","https://services.india.gov.in/service/service_url_redirect?id=OTYwNg==","Pan India"
"Telangana: Student Scholarship: Application Form (RENEWAL)","https://services.india.gov.in/service/service_url_redirect?id=OTYwOA==","Pan India"
"Information on State Scholarships, Kerala","https://services.india.gov.in/service/service_url_redirect?id=MjkwNw==","Pan India"
"School scholarships to SC, ST and OBC students from class IX and X in Chhattisgarh","https://services.india.gov.in/service/service_url_redirect?id=MjkyNw==","Pan India"
"Free Coaching and Allied Scheme","https://services.india.gov.in/service/service_url_redirect?id=NjMwOQ==","Pan India"
"Apply for scholarships through National Scholarships Portal","https://services.india.gov.in/service/service_url_redirect?id=Mjc1Mg==","Pan India"
"RSK NMMS Registration This service provide registration facility for NTSE","https://services.india.gov.in/service/service_url_redirect?id=MTM0NzQ=","Pan India"
"RSK NTSE Registration facility for NTSE application","https://services.india.gov.in/service/service_url_redirect?id=MTM1MTg=","Pan India"
"INSTITUTE MANAGEMENT SYSTEM: GOVT. PG COLLEGE, JHABUA","https://services.india.gov.in/service/service_url_redirect?id=MTQ4MjA=","Pan India"
"Application form for Scholarship to the Disabled Students, Himachal Pradesh","https://services.india.gov.in/service/service_url_redirect?id=NDc0NA==","Pan India"
"SAS Exam","https://services.india.gov.in/service/service_url_redirect?id=MTgzNjc=","Pan India"
"BARKATULLAH university: ACADEMIC CELL INTERNAL QUALITY ASSURANCE CELL PART A","https://services.india.gov.in/service/service_url_redirect?id=MTQ2OTA=","Pan India"
"Education to Scheduled Tribe students in well-known Residential English Medium School in Maharashtra","https://services.india.gov.in/service/service_url_redirect?id=NjM3NA==","Pan India"
"Free admission to the Scheduled Tribe students in Government Ashram School in Maharashtra","https://services.india.gov.in/service/service_url_redirect?id=NjM3NQ==","Pan India"
"Online Application for Income Certificate","https://services.india.gov.in/service/service_url_redirect?id=NTU3Mw==","Pan India"
"Caste Certificate (Scheduled Caste and Scheduled Tribe)","https://services.india.gov.in/service/service_url_redirect?id=NTU3NQ==","Pan India"
"Caste Certificate (Other Backward Class)","https://services.india.gov.in/service/service_url_redirect?id=NTU3Ng==","Pan India"
"Stipend for the Students, Haryana","https://services.india.gov.in/service/service_url_redirect?id=MTc3MjE=","Pan India"
"Yuvasree Employment Assistance, West Bengal","https://services.india.gov.in/service/service_url_redirect?id=MTgxNjg=","Pan India"
"Maharashtra: Foreign Scholarship","https://services.india.gov.in/service/service_url_redirect?id=Njc3Nw==","Pan India"
"Maharashtra: Scholarship within India","https://services.india.gov.in/service/service_url_redirect?id=Njc3OA==","Pan India"
"Gujarat, Collectorate - District Panchmahal: issuing domicile certificate","https://services.india.gov.in/service/service_url_redirect?id=MTY3NDM=","Pan India"
"Gujarat, Collectorate - District Vadodara: Obtaining certificates for Scheduled Castes and Scheduled Tribes","https://services.india.gov.in/service/service_url_redirect?id=MTYwNzk=","Pan India"
"Gujarat, Collectorate - District Tapi: issuing domicile certificate","https://services.india.gov.in/service/service_url_redirect?id=MTY0MzE=","Pan India"
"Gujarat, Collectorate - District Tapi: Obtaining certificates for Scheduled Castes and Scheduled Tribes","https://services.india.gov.in/service/service_url_redirect?id=MTY0Mjc=","Pan India"
"Gujarat, Collectorate - District Tapi: Certification for socially and educationally backward classes","https://services.india.gov.in/service/service_url_redirect?id=MTY0MjU=","Pan India"
"Gujarat, Collectorate - District Tapi: Certification of religious minorities","https://services.india.gov.in/service/service_url_redirect?id=MTY0MjM=","Pan India"
"Gujarat, Collectorate - District Surat: issuing domicile certificate","https://services.india.gov.in/service/service_url_redirect?id=MTYyNTc=","Pan India"
"Gujarat, Collectorate - District Surat: Obtaining certificates for Scheduled Castes and Scheduled Tribes","https://services.india.gov.in/service/service_url_redirect?id=MTYyNTM=","Pan India"
"Gujarat, Collectorate - District Surat: Certification for socially and educationally backward classes","https://services.india.gov.in/service/service_url_redirect?id=MTYyNTE=","Pan India"
"Gujarat, Collectorate - District Surat: Certification of religious minorities","https://services.india.gov.in/service/service_url_redirect?id=MTYyNDk=","Pan India"
"Gujarat, Collectorate - District Vadodara: issuing domicile certificate","https://services.india.gov.in/service/service_url_redirect?id=MTYwODM=","Pan India"
"Gujarat, Collectorate - District Vadodara: Certification for socially and educationally backward classes","https://services.india.gov.in/service/service_url_redirect?id=MTYwNzc=","Pan India"
"Gujarat, Collectorate - District Vadodara: Certification of religious minorities","https://services.india.gov.in/service/service_url_redirect?id=MTYwNzU=","Pan India"
"Gujarat, Collectorate - District Kutch: issuing domicile certificate","https://services.india.gov.in/service/service_url_redirect?id=MTUzNDY=","Pan India"
"Gujarat, Collectorate - District Kutch: Obtaining certificates for Scheduled Castes and Scheduled Tribes","https://services.india.gov.in/service/service_url_redirect?id=MTUzNDI=","Pan India"
"Gujarat, Collectorate - District Kutch: Certification for socially and educationally backward classes","https://services.india.gov.in/service/service_url_redirect?id=MTUzNDA=","Pan India"
"Gujarat, Collectorate - District Valsad: Certification for socially and educationally backward classes","https://services.india.gov.in/service/service_url_redirect?id=MTQ5MTI=","Pan India"
"Gujarat, Collectorate - District Valsad: Obtaining certificates for Scheduled Castes and Scheduled Tribes","https://services.india.gov.in/service/service_url_redirect?id=MTQ5MTU=","Pan India"
